ID,CLIENT,APP_ID,RELEASE_DATE,RELEASE_VERSION,DB_NAME,RELEASE_WHO,ENVIRONMENT,BUILD_NUMBER
164,Meritor,mtor,"2017-09-22",17.7.0.65,OT69.WORLD,vshekar,QA,
165,Comcast,cst,"2017-09-22",17.6.0.32,OP09.WORLD,vshekar,Production,
166,Johnson-Controls,jci,"2017-10-09",17.7.0.82,OP68.WORLD,vshekar,Production,
167,Raytheon,rtn,"2017-10-18",17.7.0.75,OP81.WORLD,jraj,Production,
168,Sundial,sdl,"2018-03-12",18.2.0.10,OT62.WORLD,jraj,QA,
169,Pandora,pt,"2017-09-14",17.7.0.36,OT29.WORLD,rgodavarthy,QA,
170,New-Era,sp,"2017-08-31",17.6.0.32,OT08.WORLD,jraj,QA,
171,Disney,sp2,"2017-09-14",17.7.0.36,OT10.WORLD,jraj,QA,
172,Nike,nke,"2017-09-25",17.8.0.1,OT65.WORLD,jraj,QA,
173,Pandora,pt,"2017-10-05",17.7.0.78,OT29.WORLD,jraj,QA,
174,Comcast,cst,"2017-10-13",17.7.0.78,OT09.WORLD,vshekar,QA,
175,BP,bp,"2018-03-22",18.2.0.13,OP66.WORLD,jraj,Production,
176,Nike,nke,"2018-03-22",18.2.0.28,OT65.WORLD,jraj,QA,
177,Boeing(BMA),bma,"2018-03-22",18.2.0.28,OT60.WORLD,jraj,QA,
178,Nike,nke,"2018-01-25",17.9.0.36,OT65.WORLD,vshekar,QA,
179,Nike,nke,"2017-08-23",17.7.0.0,OT65.WORLD,jraj,QA,
180,NuSkin,nus,"2017-10-26",17.8.0.16,OT64.WORLD,vshekar,QA,
181,Johnson-Controls,jci,"2017-10-11",17.7.0.82,OT68.WORLD,vshekar,QA,
182,Nike,nke,"2018-02-06",18.2.0.0,OT65.WORLD,rgodavarthy,QA,
183,Nike,nke,"2018-03-06",18.2.0.8,OT65.WORLD,vshekar,QA,
184,NuSkin,nus,"2018-03-15",18.2.0.18,OT64.WORLD,jraj,QA,
185,Siemens,sms,"2017-10-31",17.7.0.86,OT00.WORLD,vshekar,QA,
186,Boeing(BMA),bma,"2017-11-01",17.8.0.20,OT60.WORLD,rgodavarthy,QA,
187,Comcast,cst,"2017-11-01",17.8.0.20,OT09.WORLD,rgodavarthy,QA,
188,Disney,sp2,"2017-11-03",17.8.0.2,OP10.WORLD,rgodavarthy,Production,
189,Siemens,sms,"2017-11-03",17.7.0.89,OP00.WORLD,rgodavarthy,Production,
190,WeightWatchers,wwi,"2017-11-07",17.8.0.24,OT18.WORLD,jraj,QA,
191,Disney,sp2,"2017-11-08",17.8.0.25,OT10.WORLD,jraj,QA,
192,HP,hp,"2017-11-08",17.8.0.25,OT35.WORLD,jraj,QA,
193,RyderHP,hp,"2017-11-08",17.8.0.25,OT61.WORLD,jraj,QA,
194,NuSkin,nus,"2017-11-09",17.8.0.16,OP64.WORLD,jraj,Production,
195,JLG,jlg,"2017-11-09",17.8.0.28,OT49.WORLD,jraj,QA,
196,LINDT,lisn,"2017-11-10",17.8.0.28,OT82.WORLD,jraj,QA,
197,JLG,jlg,"2017-11-10",17.8.0.29,OT49.WORLD,jraj,QA,
198,Disney,sp2,"2017-11-14",17.8.0.31,OT10.WORLD,rgodavarthy,QA,
199,Services-Parts,sp,"2017-11-16",17.8.0.32,OT08.WORLD,rgodavarthy,QA,
200,XPOFN,xpofn,"2017-11-27",17.8.0.22,OP83.WORLD,jraj,Production,
201,Disney,sp2,"2017-12-07",17.9.0.4,OT10.WORLD,rgodavarthy,QA,
202,WeightWatchers,wwi,"2017-12-07",17.8.0.30,OP18.WORLD,rgodavarthy,Production,
203,Boeing(BMA),bma,"2017-12-14",17.9.0.11,OT60.WORLD,vshekar,QA,
204,Siemens,sms,"2017-12-14",17.9.0.11,OT00.WORLD,vshekar,QA,
205,BDS,bds,"2017-12-15",17.9.0.12,OT16.WORLD,vshekar,QA,
206,Raytheon,rtn,"2017-12-15",17.9.0.13,OT81.WORLD,vshekar,QA,
207,XPOFN,xpofn,"2017-12-19",17.9.0.15,OT83.WORLD,jraj,QA,
208,WeightWatchers,wwi,"2017-12-20",17.9.0.19,OT18.WORLD,jraj,QA,
209,Disney,sp2,"2017-12-20",17.9.0.19,OT10.WORLD,jraj,QA,
210,Nike,nke,"2017-12-20",17.9.0.19,OT65.WORLD,jraj,QA,
211,Boeing(BMA),bma,"2017-12-21",17.9.0.11,OP60.WORLD,jraj,Production,
212,Sundial,sdl,"2017-12-21",17.9.0.25,OT62.WORLD,vshekar,QA,
213,Raytheon,rtn,"2017-12-22",17.9.0.26,OT81.WORLD,jraj,QA,
214,Sundial,sdl,"2017-12-27",17.9.0.28,OT62.WORLD,rgodavarthy,QA,
215,Siemens,sms,"2017-12-28",17.9.0.29,OT00.WORLD,rgodavarthy,QA,
216,Boeing-Supplier-Portal,bsp,"2017-12-28",17.9.0.29,OT15.WORLD,rgodavarthy,QA,
217,LINDT,lsna,"2018-01-12",17.8.0.28,OP82.WORLD,jraj,Production,
218,Nike,nke,"2018-01-16",17.9.0.30,OT65.WORLD,rgodavarthy,QA,
219,Raytheon,rtn,"2018-01-19",17.9.0.33,OT81.WORLD,rgodavarthy,QA,
220,NuSkin,nus,"2018-01-25",18.1.0.1,OT64.WORLD,vshekar,QA,
221,WeightWatchers,wwi,"2018-01-25",17.9.0.19,OP18.WORLD,vshekar,Production,
222,Nike,nke,"2018-02-05",18.1.0.6,OT65.WORLD,rgodavarthy,QA,
223,Nike,nke,"2018-02-06",18.1.0.6,OP65.WORLD,rgodavarthy,Production,
224,NuSkin,nus,"2018-02-08",18.1.0.8,OP64.WORLD,rgodavarthy,Production,
225,CAT,cat,"2018-02-13",18.1.0.32,OT33.WORLD,vshekar,QA,
226,Sundial,sdl,"2018-02-26",17.9.0.28,OP62.WORLD,rgodavarthy,Production,
227,JLG,jlg,"2018-03-05",18.1.0.34,OT49.WORLD,vshekar,QA,
228,JLG,jlg,"2018-03-05",18.1.0.35,OT49.WORLD,vshekar,QA,
229,Nike,nke,"2018-03-09",18.2.0.9,OT65.WORLD,jraj,QA,
230,Nike,nke,"2018-03-09",18.2.0.9,OT65.WORLD,jraj,QA,
231,BCA,bca,"2018-03-12",18.2.0.10,OT07.WORLD,jraj,QA,
232,BDS,bds,"2018-03-12",18.2.0.10,OT16.WORLD,jraj,QA,
233,Nike,nke,"2018-03-13",18.2.0.13,OT65.WORLD,jraj,QA,
234,BP,bp,"2018-03-13",18.2.0.13,OT66.WORLD,jraj,QA,
235,NuSkin,nus,"2018-03-13",18.2.0.15,OT64.WORLD,jraj,QA,
236,BCA,bca,"2018-03-14",18.2.0.15,OT07.WORLD,jraj,QA,
237,NuSkin,nus,"2018-03-15",18.2.0.16,OT64.WORLD,jraj,QA,
238,Raytheon,rtn,"2018-03-15",18.2.0.17,OT81.WORLD,jraj,QA,
239,WeightWatchers,wwi,"2018-03-21",18.2.0.25,OT18.WORLD,jraj,QA,
240,Sundial,sdl,"2018-03-21",18.2.0.25,OT62.WORLD,jraj,QA,
241,BCA,bca,"2018-03-25",18.2.0.15,OP07.WORLD,jraj,Production,
242,Services-Parts,sp,"2017-11-03",17.8.0.21,OT08.WORLD,rgodavarthy,QA,
243,Siemens,sms,"2017-11-03",17.7.0.88,OT00.WORLD,rgodavarthy,QA,
244,XPOFN,xpofn,"2017-11-06",17.8.0.22,OT83.WORLD,jraj,QA,
245,WeightWatchers,wwi,"2017-11-14",17.8.0.30,OT18.WORLD,rgodavarthy,QA,
246,Boeing(BMA),bma,"2017-11-15",17.8.0.31,OT60.WORLD,rgodavarthy,QA,
247,Nike,nke,"2017-11-20",17.8.0.39,OT65.WORLD,vshekar,QA,
248,JLG,jlg,"2017-11-20",17.8.0.40,OT49.WORLD,vshekar,QA,
249,Nike,nke,"2017-12-21",17.9.0.25,OT65.WORLD,jraj,QA,
250,null,lsna,"2018-01-12",17.8.0.28,OP82.WORLD,jraj,Production,
251,Raytheon,rtn,"2018-01-18",17.9.0.32,OT81.WORLD,rgodavarthy,QA,
